"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Voortgezet onderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsopleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsbegeleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Hoger beroepsonderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Wetenschappelijk onderwijs"
"Perioden";"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal"
"2000";"Aalburg";".";".";".";"125";"36"
"2000";"Aalsmeer";".";".";".";"236";"133"
"2000";"Aarle-Rixtel";"";"";"";"";""
"2000";"Abcoude";".";".";".";"123";"83"
"2000";"Akersloot";".";".";".";"75";"22"
"2000";"Alkmaar";".";".";".";"1767";"577"
"2000";"Alphen en Riel";"";"";"";"";""
"2000";"Alphen-Chaam";".";".";".";"201";"59"
"2000";"Altena";"";"";"";"";""
"2000";"Amerongen";".";".";".";"84";"29"
"2000";"Amersfoort";".";".";".";"2220";"814"
"2000";"Amstelveen";".";".";".";"1373";"2246"
"2000";"Amsterdam";".";".";".";"13895";"16467"
"2000";"Andijk";".";".";".";"104";"14"
"2000";"Anna Paulowna";".";".";".";"193";"50"
"2000";"Asten";".";".";".";"247";"71"
"2000";"Baarle-Nassau";".";".";".";"83";"33"
"2000";"Baarn";".";".";".";"341";"155"
"2000";"Bakel en Milheeze";"";"";"";"";""
"2000";"Beek en Donk";"";"";"";"";""
"2000";"Beemster";".";".";".";"132";"48"
"2000";"Bennebroek";".";".";".";"81";"32"
"2000";"Bergeijk";".";".";".";"247";"76"
"2000";"Bergen (NH.)";".";".";".";"206";"96"
"2000";"Bergen op Zoom";".";".";".";"1008";"245"
"2000";"Bergeyk";"";"";"";"";""
"2000";"Berkel-Enschot";"";"";"";"";""
"2000";"Berlicum";"";"";"";"";""
"2000";"Bernheze";".";".";".";"456";"136"
"2000";"Best";".";".";".";"451";"122"
"2000";"Beverwijk";".";".";".";"499";"172"
"2000";"De Bilt";".";".";".";"530";"410"
"2000";"Bladel";".";".";".";"332";"99"
"2000";"Bladel en Netersel";"";"";"";"";""
"2000";"Blaricum";".";".";".";"163";"118"
"2000";"Bloemendaal";".";".";".";"265";"223"
"2000";"Boekel";".";".";".";"153";"26"
"2000";"Boxmeer";".";".";".";"481";"113"
"2000";"Boxtel";".";".";".";"571";"184"
"2000";"Breda";".";".";".";"5522";"1001"
